Country 1,Country 2,Cosine Similarity,Normalized
United_States,United_Kingdom,0.944833355,4.975821969
United_States,Turkey,0.282265461,0.846594365
United_States,Sweden,0.212752134,0.413376348
United_States,Singapore,0.183633035,0.231901525
United_States,Brazil,0.062217162,-0.524781339
United_States,Australia,0.419406591,1.701279512
United_States,Canada,0.2947754,0.924558278
United_States,Colombia,0.010246223,-0.848672427
United_States,Costa_Rica,0.074536947,-0.4480025
United_States,France,0.095915187,-0.314769934
United_States,Germany,0.137901467,-0.053104816
United_States,Guatemala,0.010821491,-0.845087268
United_States,Hong_Kong,0.332424364,1.159192554
United_States,India,0.220571116,0.462105472
United_States,Philippines,0.180902781,0.214886152
United_States,Japan,0.118072669,-0.176681009
United_States,Mexico,0.050807658,-0.595887166
United_States,Netherlands,0.258523134,0.698628438
United_States,New_Zealand,0.421424973,1.713858387
United_Kingdom,Turkey,0.263897084,0.73211974
United_Kingdom,Sweden,0.200392143,0.33634693
United_Kingdom,Singapore,0.17537224,0.180418952
United_Kingdom,Brazil,0.060460112,-0.535731556
United_Kingdom,Australia,0.396552447,1.558848885
United_Kingdom,Canada,0.303458797,0.978674574
United_Kingdom,Colombia,0.010843594,-0.844949519
United_Kingdom,Costa_Rica,0.073990575,-0.451407577
United_Kingdom,France,0.09090608,-0.345987478
United_Kingdom,Germany,0.129758103,-0.103855546
United_Kingdom,Guatemala,0.010662258,-0.846079635
United_Kingdom,Hong_Kong,0.312722439,1.036407051
United_Kingdom,India,0.207303191,0.379417673
United_Kingdom,Philippines,0.172850589,0.164703627
United_Kingdom,Japan,0.113759462,-0.203561599
United_Kingdom,Mexico,0.05249346,-0.585380984
United_Kingdom,Netherlands,0.244441981,0.610872472
United_Kingdom,New_Zealand,0.39839091,1.570306475
Turkey,Sweden,0.187535798,0.256224164
Turkey,Singapore,0.095725176,-0.315954111
Turkey,Brazil,0.082972667,-0.395429762
Turkey,Australia,0.232890848,0.538883989
Turkey,Canada,0.136235182,-0.063489365
Turkey,Colombia,0.004238374,-0.886114293
Turkey,Costa_Rica,0.031687339,-0.71504801
Turkey,France,0.108535917,-0.236115553
Turkey,Germany,0.132345619,-0.087729738
Turkey,Guatemala,0.004314694,-0.885638655
Turkey,Hong_Kong,0.307655475,1.004828931
Turkey,India,0.215749523,0.432056549
Turkey,Philippines,0.093843247,-0.327682593
Turkey,Japan,0.089926697,-0.352091147
Turkey,Mexico,0.030632819,-0.721619951
Turkey,Netherlands,0.350834407,1.273926845
Turkey,New_Zealand,0.227502344,0.505301983
Sweden,Singapore,0.243191736,0.603080745
Sweden,Brazil,0.052523253,-0.585195309
Sweden,Australia,0.368140075,1.381778502
Sweden,Canada,0.205327193,0.367102943
Sweden,Colombia,0.221063436,0.465173693
Sweden,Costa_Rica,0.028072194,-0.737578168
Sweden,France,0.120238137,-0.163185476
Sweden,Germany,0.106331134,-0.249856113
Sweden,Guatemala,0.002876123,-0.894604053
Sweden,Hong_Kong,0.511823434,2.277235856
Sweden,India,0.291452941,0.903852188
Sweden,Philippines,0.242052721,0.595982222
Sweden,Japan,0.138896963,-0.046900729
Sweden,Mexico,0.103991223,-0.264438805
Sweden,Netherlands,0.261334435,0.716148907
Sweden,New_Zealand,0.348149394,1.25719342
Singapore,Brazil,0.035752714,-0.689711956
Singapore,Australia,0.23156555,0.530624523
Singapore,Canada,0.1276087,-0.117250964
Singapore,Colombia,0.005236772,-0.879892119
Singapore,Costa_Rica,0.035878458,-0.688928298
Singapore,France,0.122710192,-0.147779237
Singapore,Germany,0.076101011,-0.438255003
Singapore,Guatemala,0.009835122,-0.851234478
Singapore,Hong_Kong,0.24767865,0.6310439
Singapore,India,0.210199806,0.397469833
Singapore,Philippines,0.996089779,5.295260087
Singapore,Japan,0.148586328,0.013484922
Singapore,Mexico,0.073066016,-0.457169571
Singapore,Netherlands,0.117381914,-0.180985908
Singapore,New_Zealand,0.265788914,0.74390992
Brazil,Australia,0.060619333,-0.534739263
Brazil,Canada,0.03898917,-0.669541851
Brazil,Colombia,0.006215136,-0.873794799
Brazil,Costa_Rica,0.007850167,-0.863605029
Brazil,France,0.035089635,-0.693844367
Brazil,Germany,0.014770058,-0.820479173
Brazil,Guatemala,9.53E-04,-0.906589198
Brazil,Hong_Kong,0.094040966,-0.326450377
Brazil,India,0.032377815,-0.710744857
Brazil,Philippines,0.035837719,-0.689182189
Brazil,Japan,0.027190645,-0.743072117
Brazil,Mexico,0.009296102,-0.854593736
Brazil,Netherlands,0.057869223,-0.551878384
Brazil,New_Zealand,0.055990999,-0.563583768
Australia,Canada,0.451883697,1.903681957
Australia,Colombia,0.007868575,-0.863490304
Australia,Costa_Rica,0.037514529,-0.678732046
Australia,France,0.109317392,-0.231245278
Australia,Germany,0.148504019,0.012971963
Australia,Guatemala,0.023541447,-0.765814499
Australia,Hong_Kong,0.520859425,2.333549576
Australia,India,0.300589621,0.960793417
Australia,Philippines,0.230540285,0.52423491
Australia,Japan,0.141183475,-0.032650823
Australia,Mexico,0.073525794,-0.454304161
Australia,Netherlands,0.184876727,0.239652415
Australia,New_Zealand,0.642754496,3.093218884
Canada,Colombia,0.006730158,-0.870585102
Canada,Costa_Rica,0.02234893,-0.773246449
Canada,France,0.039591915,-0.665785449
Canada,Germany,0.126513926,-0.124073769
Canada,Guatemala,0.005011454,-0.881296338
Canada,Hong_Kong,0.305500955,0.991401625
Canada,India,0.159139673,0.079255032
Canada,Philippines,0.127177963,-0.119935387
Canada,Japan,0.089032998,-0.357660819
Canada,Mexico,0.03502085,-0.694273048
Canada,Netherlands,0.101554322,-0.279625957
Canada,New_Zealand,0.379217845,1.450816911
Colombia,Costa_Rica,0.003714041,-0.889382019
Colombia,France,0.004068842,-0.887170839
